,Дата,Время,Отзыв
72,19 октября 2018,14:56,"У нас одна причина - недобор, чтоб не закрыли. Берём всех подряд, результат плачевный.







"
73,23 января 2015,06:57,"Могу сказать, что знаком с некоторыми Профессорами МГУ имени М.В.Ломоносова, которые как были недовольными ими, когда они становились Профессорами, так же не довольны и мной, так как Я СМОГ ЗАКОНЧИТЬ МГУ. И Вы знаете эта НЕНАВИСТЬ И ЗАВИСТЬ, ТРЕТЬИМ ЗАКОНОМ НЬЮТОНА НЕ ЛЕЧИТСЯ. Скорее для их отношения друг к другу и к окружающим их людям подходит ДЕВИЗ ХИППИ: - ""ДОБЕЙ ЛЕЖАЧЕГО"".







"
74,01 декабря 2015,20:38,"А вы давно в Москве ? что то от вас ""серостью"" пахнет...







"
75,22 августа 2016,11:24,"Почти все комментарии меня расстраивают тем, что имеют множество орфографических, пунктуационных ошибок. Вы же выпускники или студенты САМОГО МГУ!!! Как вы можете писать с ошибками?! Для меня МГУ - это эталон высокого профессионализма во всём!







"
76,20 сентября 2019,18:40,"Сообщение находится на модерации. В течение дня оно будет проверено и опубликовано, если соответствует правилам сайта.



0



"
77,12 апреля 2015,16:26,"Я, врач-психиатр. 95% выпускников МГУ психически больны. После учёбы в МГУ выпускников нужно направлять на принудительную экспертизу к независимым психиатрам в КАЩЕНКО. А у САДОВНИЧЕГО давно патология ПРЕСЕНИЛЬНОГО ПСИХОЗА. МГУ - это ГОСУДАРСТВЕННАЯ структура по выпуску дураков в общество. Дураки изготавливают ДУРАКОВ. Фактов и доказательств очень много!







"
78,16 апреля 2015,09:46,"Вы знаете, доля правды в Ваших словах есть. Но проблема глубже и она не в выпускниках МГУ. Проблема в Законе о Психиатрии и Конституции РФ. Дело в том, что закон о Психиатрии принят раньше Конституции РФ. И поэтому получается, что врачи психиаторы сплошь и рядом нарушают Конституцию РФ, основной закон страны, леча пациентов старыми дореволюционными методами, не соответствующими Конституции РФ. Кроме того, в Конституции РФ есть норма, такая как СВОБОДА МЫСЛИ. А за вопрос откуда берётся МЫСЛЬ, обещана Нобелевская премия. Гарантом конституции является Президент РФ, то есть формально, так как право формально, ответственность за МЫСЛЬ каждого гражданина РФ несёт Президент РФ. Но если опустится на землю, и посмотреть реально на эту проблематику, то становится ясным, что отвечать за мысли каждого гражданина Президент РФ не может. Поэтому я бы не стал говорить, что в МГУ Дураки изготовляют Дураков.







"
79,24 апреля 2017,22:15,"В упомянутом Кащенко приходилось проходить цикл по психиатрии. Попадались и МГУшники, что, конечно же, коробило. Тем не менее, с каких это пор принадлежность к данному вузу является отягощающим анамнез обстоятельством? Не слишком ли щедро вы раздаёте диагнозы, КОЛЛЛЕГА? Медик ли вы или всё-таки профессиональный тролль?







"
80,15 февраля 2019,14:35,"Безработных выпускников МГУ нет, есть люди с купленными и поддельными дипломами.







"
81,10 июля 2015,13:13,"Здравствуйте! Расскажите, пожалуйста, про факультет фундаментальной медицины. Стоит ли туда идти ? Я из Самары, у нас хороший свой ВУЗ с собственными клиниками. Есть ли смысл думать об МГУ ?







"
82,11 июля 2015,11:08,"Думать о МГУ имени М.В.Ломоносова, стоит всегда и, днём и ночью. Что касается факультета Фундаментальной медицины МГУ имени М.В.Ломоносова, то по нему очень скудная информация. Могу сказать, что его восстановили и открыли вновь с ДОПЯТИКАМПРОВСКИХ времён.







"
83,16 июля 2015,01:01,"Да это правда. Что есть, то есть. У меня до сих пор перед глазами, сдача одного из экзаменов, на Юридическом факультете. Но Вы знаете, если говорить честно, то и дают знания контрактникам и бюджетникам по разному. Нам спецфаковцам например, было смешно, когда мы зашли послушать лекции по гражданскому праву, которые читали бюджетникам. И в тоже время совсем не смешно нам было на сдаче экзаменов по Истории политических и правовых учений, так как тем кто учился на бюджете, совершенно по другому преподавали Историю политических и правовых учений и, они на голову были лучше подготовлены к экзаменам, нежели чем мы спецфаковцы.







"
84,18 июля 2015,08:27,"Расскажите, пожалуйста, о физическом факультете.







"
85,21 июля 2015,22:17,"Также, отличительной особенностью обучения в МГУ имени М.В.Ломоносова, является факт, отрицательного отношения преподавателей к туристическим поездкам студентов во время обучения. К служебным командировкам преподаватели МГУ имени М.В.Ломоносова относятся нормально, а вот к туристическим поездкам, преподаватели МГУ имени М.В.Ломоносова относятся очень негативно и, зачастую туристические поездки студентов, особенно за рубеж, выходят боком студентам во время сдачи зачётов и экзаменов во время сессии.







"
